idxcell,idycell,idzcell,Tref
1,1,1,300.0
1,2,1,300.0
1,3,1,300.0
1,4,1,300.0
1,5,1,300.0
1,6,1,300.0
1,7,1,300.0
1,8,1,300.0
1,9,1,300.0
1,10,1,300.0
1,11,1,300.0
1,12,1,300.0
1,13,1,300.0
1,14,1,300.0
1,15,1,300.0
1,16,1,300.0
1,17,1,300.0
1,18,1,300.0
1,19,1,300.0
1,20,1,300.0
1,21,1,300.0
1,22,1,300.0
1,23,1,300.0
1,24,1,300.0
1,25,1,300.0
1,26,1,300.0
1,27,1,300.0
1,28,1,300.0
1,29,1,300.0
1,30,1,300.0
1,31,1,300.0
1,32,1,300.0
1,33,1,300.0
1,34,1,300.0
1,35,1,300.0
1,36,1,300.0
1,37,1,300.0
1,38,1,300.0
1,39,1,300.0
1,40,1,300.0
1,41,1,300.0
1,42,1,300.0
1,43,1,300.0
1,44,1,300.0
1,45,1,300.0
1,46,1,300.0
1,47,1,300.0
1,48,1,300.0
1,49,1,300.0
1,50,1,300.0
1,51,1,300.0
1,52,1,300.0
1,53,1,300.0
1,54,1,300.0
1,55,1,300.0
1,56,1,300.0
1,57,1,300.0
1,58,1,300.0
1,59,1,300.0
1,60,1,300.0
1,61,1,300.0
1,62,1,300.0
1,63,1,300.0
1,64,1,300.0
1,65,1,300.0
1,66,1,300.0
1,67,1,300.0
1,68,1,300.0
1,69,1,300.0
1,70,1,300.0
1,71,1,300.0
1,72,1,300.0
