idxcell,idycell,idzcell,Tref
1,1,1,323.0
1,2,1,323.0
1,3,1,323.0
1,4,1,323.0
1,5,1,323.0
1,6,1,323.0
1,7,1,323.0
1,8,1,323.0
1,9,1,323.0
1,10,1,323.0
1,11,1,323.0
1,12,1,323.0
1,13,1,323.0
1,14,1,323.0
1,15,1,323.0
1,16,1,323.0
1,17,1,323.0
1,18,1,323.0
1,19,1,323.0
1,20,1,323.0
1,21,1,323.0
1,22,1,323.0
1,23,1,323.0
1,24,1,323.0
1,25,1,323.0
1,26,1,323.0
1,27,1,323.0
1,28,1,323.0
1,29,1,323.0
1,30,1,323.0
1,31,1,323.0
1,32,1,323.0
1,33,1,323.0
1,34,1,323.0
1,35,1,323.0
1,36,1,323.0
1,37,1,323.0
1,38,1,323.0
1,39,1,323.0
1,40,1,323.0
1,41,1,323.0
1,42,1,323.0
1,43,1,323.0
1,44,1,323.0
1,45,1,323.0
1,46,1,323.0
1,47,1,323.0
1,48,1,323.0
1,49,1,323.0
1,50,1,323.0
1,51,1,323.0
1,52,1,323.0
